brd	smi	cid	dataset
BRD-K40675267	FC(F)(F)c1ccccc1CN1[C@H]2CNC[C@@H]1[C@@H]2c1ccc(cc1)-c1ccncc1	CID:60185023	phase I
BRD-K41031205	Cc1ccccc1S(=O)(=O)N1C[C@H]2N[C@@H](C1)[C@@H]2c1ccc(\C=C\c2ccccc2)cc1	CID:71296075	phase I
BRD-K41824522	Clc1ccc2sc3c([nH]c2c1)c(=O)ccc3=O	CID:73707581	phase I
BRD-K41953699	COc1ccccc1NC(=O)N1C[C@H]2N[C@@H](C1)[C@@H]2c1ccc(cc1)-c1cccc(c1)C#N	CID:60184908	phase I
BRD-K42843595	COc1cccc(c1)-c1ccc(cc1)[C@H]1[C@@H]2CNC[C@H]1N2C(=O)Nc1ccc(cc1)C(F)(F)F	CID:60185129	phase I
BRD-K42916718	COc1cccc(c1)S(=O)(=O)N1C[C@H]2N[C@@H](C1)[C@H]2c1ccc(cc1)-c1ccc(cc1)C(=O)N(C)C	CID:60184884	phase I
BRD-K43022624	C\C=C\c1ccc(cc1)[C@@H]1[C@@H]2CNC[C@H]1N2C(=O)NC1CCCCC1	CID:60185228	phase I
BRD-K43379283	Clc1ccc(NC(=O)N2[C@H]3CNC[C@@H]2[C@H]3c2ccc(cc2)-c2ccc(cc2)C#N)cc1	CID:60184876	phase I
BRD-K43528099	O=C(C1CCOCC1)N1C[C@H]2N[C@@H](C1)[C@H]2c1ccc(cc1)-c1ccncc1	CID:60185176	phase I
BRD-K43571060	CC(=O)c1ccc(/N=N/C(=C\2/NC(C)(C)Cc3ccccc23)/C(=O)N)cc1	CID:3429861	phase I
BRD-K44289311	COc1cc(CN2C[C@H]3N[C@@H](C2)[C@H]3c2ccc(cc2)-c2ccc(cc2)C#N)cc(OC)c1	CID:60185135	phase I
BRD-K44353683	CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](Cc1ccccc1)C(O)=O	CID:5311309	phase I
BRD-K45223163	COc1ccc(cc1)-c1ccc(cc1)[C@H]1[C@H]2CN(C[C@@H]1N2)S(=O)(=O)c1ccccc1C	CID:60184880	phase I
BRD-K45347683	COc1ccc(cc1)-c1ccc(cc1)[C@@H]1[C@H]2CN(C[C@@H]1N2)C(=O)c1ccc(F)cc1	CID:60185054	phase I
BRD-K46378421	O=S(=O)(Cc1ccccc1)N1C[C@H]2N[C@@H](C1)[C@H]2c1ccc(cc1)-c1ccc(cc1)C#N	CID:60185001	phase I
BRD-K46808525	COc1ccccc1-c1ccc(cc1)[C@@H]1[C@H]2CN(Cc3cccc(F)c3)C[C@@H]1N2	CID:60184833	phase I
BRD-K47342144	CN(C)C(=O)c1cccc(c1)-c1ccc(cc1)[C@@H]1[C@H]2CN(Cc3ccccc3F)C[C@@H]1N2	CID:60184882	phase I
BRD-K47692589	Cc1ccccc1S(=O)(=O)N1C[C@H]2N[C@@H](C1)[C@@H]2c1ccc(cc1)-c1ccc(cc1)C#N	CID:60188272	phase I
BRD-K48528505	CN(C)C(=O)c1ccc(cc1)-c1ccc(cc1)[C@H]1[C@@H]2CNC[C@H]1N2CC1CCCCC1	CID:60185132	phase I
BRD-K48545167	C(N1[C@H]2CNC[C@@H]1[C@@H]2c1ccc(cc1)-c1ccccc1)c1cc(on1)-c1ccccc1	CID:60184981	phase I
BRD-K48774739	CN(C)C(=O)c1cccc(c1)-c1ccc(cc1)[C@H]1[C@@H]2CNC[C@H]1N2Cc1ccc2OCOc2c1	CID:60185136	phase I
BRD-K48932581	NC[C@H]1CC[C@@H](CC1)C(=O)Oc2ccc(CCC(=O)O)cc2	CID:2680	phase I
BRD-K49047603	Fc1ccccc1-c1ccc(cc1)[C@H]1[C@H]2CN(C[C@@H]1N2)C(=O)C1CCOCC1	CID:60185104	phase I
BRD-K49066776	COc1ccc(NC(=O)N2C[C@H]3N[C@@H](C2)[C@@H]3c2ccc(cc2)-c2ccncc2)cc1	CID:60185253	phase I
BRD-K49075727	COC(=O)c1ccc2c(NC(=O)\C2=C(/Nc2ccc(cc2)N(C)C(=O)CN2CCN(C)CC2)c2ccccc2)c1	CID:135423438	phase I
BRD-K49849398	O=C(N1C[C@H]2N[C@@H](C1)[C@@H]2c1ccc(cc1)-c1ccc(cc1)C#N)c1ccncc1	CID:60185057	phase I
BRD-K49870009	CN(C)C(=O)c1ccc(cc1)-c1ccc(cc1)[C@@H]1[C@H]2CN(C[C@@H]1N2)C(=O)c1ccccn1	CID:60185079	phase I
BRD-K49881099	COc1ccccc1-c1ccc(cc1)[C@@H]1[C@H]2CN(C[C@@H]1N2)C(=O)c1ccncc1	CID:60185250	phase I
